iter	Passed	Remaining
623	181760	109522
624	182254	109352
625	182729	109170
626	183223	108999
627	183721	108828
628	184281	108693
629	184731	108493
630	185184	108293
631	185553	108043
632	186050	107868
633	186583	107712
634	187022	107501
635	187464	107291
636	187944	107101
637	188398	106897
638	188881	106707
639	189389	106531
640	189863	106335
641	190338	106138
642	190824	105947
643	191302	105751
644	191824	105577
645	192300	105378
646	192751	105164
647	193260	104981
648	193882	104858
649	194358	104654
650	194700	104378
651	195032	104097
652	195339	103801
653	195627	103496
654	195899	103183
655	196165	102867
656	196434	102552
657	196703	102237
658	196957	101915
659	197216	101596
660	197473	101275
661	197782	100982
662	198071	100678
663	198352	100371
664	198627	100060
665	198909	99753
666	199127	99414
667	199347	99077
668	199558	98735
669	199777	98398
670	199986	98055
671	200198	97715
672	200418	97380
673	200632	97041
674	200837	96699
675	201046	96359
676	201258	96021
677	201480	95688
678	201689	95349
679	201902	95013
680	202119	94678
681	202339	94345
682	202565	94016
683	202773	93679
684	202979	93341
685	203201	93010
686	203420	92679
687	203641	92349
688	203856	92016
689	204082	91689
690	204298	91357
691	204518	91028
692	204753	90706
693	204995	90387
694	205197	90050
695	205406	89717
696	205675	89411
697	206008	89132
698	206320	88844
699	206582	88535
700	206812	88212
701	207032	87885
702	207247	87556
703	207472	87232
704	207692	86906
705	207919	86584
706	208136	86257
707	208454	85972
708	208688	85653
709	208928	85337
710	209141	85009
711	209356	84683
712	209584	84363
713	209797	84036
714	210030	83718
715	210235	83389
716	210451	83065
717	210660	82738
718	210877	82415
719	211112	82099
720	211375	81794
721	211617	81481
722	211830	81157
723	212042	80833
724	212266	80514
725	212476	80190
726	212733	79884
727	213023	79591
728	213354	79312
729	213593	79000
730	213831	78687
731	214106	78388
732	214367	78084
733	214592	77767
734	214894	77478
735	215146	77172
736	215378	76858
737	215597	76540
738	215938	76265
739	216238	75975
740	216541	75687
741	216792	75380
742	217022	75066
743	217266	74758
744	217508	74449
745	217745	74138
746	218003	73835
747	218243	73525
748	218458	73208
749	218730	72910
750	219017	72617
751	219289	72318
752	219559	72020
753	219818	71717
754	220103	71424
755	220350	71118
756	220579	70806
757	220827	70501
758	221078	70197
759	221323	69891
760	221562	69584
761	221863	69295
762	222111	68991
763	222388	68695
764	222655	68397
765	222924	68099
766	223222	67810
767	223488	67512
768	223723	67204
769	223943	66892
770	224171	66582
771	224541	66315
772	224851	66030
773	225324	65792
774	225821	65561
775	226489	65378
776	226985	65144
777	227487	64912
778	228048	64696
779	228642	64488
780	229176	64263
