Sample;Crustacea;Hexapoda;delta/epsilon subdivisions;Streptophytina;Polyploviricotina;Intramacronucleata;Ustilaginomycotina
SRR22402328;0;0;132948;28;0;0;0
SRR22402366;0;0;100618;3;1;0;0
SRR15595323;0;0;13;4;0;0;0
SRR15595275;0;0;7783;3;0;0;0
SRR22402351;0;0;322860;12;0;0;0
SRR15595287;0;0;0;0;0;0;0
SRR15595334;0;0;23;0;0;0;0
SRR22402362;0;0;106804;15;0;0;0
SRR22402357;3;2;151538;4;0;0;0
SRR22402334;0;0;67946;17;0;0;0
SRR15595325;0;0;0;10;0;0;0
SRR22402373;0;0;538548;42;0;0;3
SRR15595322;0;0;4;2;0;0;0
SRR15595328;0;0;0;0;0;0;0
SRR22402294;0;0;61449;299;0;0;0
SRR15595318;0;0;14;0;0;0;0
SRR15595327;0;0;10;0;0;0;0
SRR15595299;0;0;0;0;0;0;0
