Sample;Cicereae;Triticeae;Eucalypteae;Atripliceae;Drosophilini;Brassiceae;Blepharidattini;Phoeniceae;Heliantheae;Phaseoleae;Cucurbiteae;Amygdaleae;Anserineae;Cocoseae;Micrandreae;Apini;Ceratitidini;Viteae;Scandiceae;Muscini;Dacini;Saliceae;Dalbergieae;Marmotini;Maleae;Abreae;Oryzeae;Andropogoneae;Solaneae;Paliureae;Augochlorini;Malaxideae;Nicotianeae;Cichorieae;Genisteae;Manihoteae;Ipomoeeae;Capsiceae;Lasiini;Potentilleae;Culicini;Proconiini;Mentheae;Mimoseae;Poeae;Oreochromini;Acipenserini;Oleeae;Paniceae;Bombini;Myrteae;Aphidini;Rickettsieae;Wolbachieae
SRR22402356;0;0;0;0;0;0;0;0;0;0;0;0;147;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0
SRR22402332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0
SRR22402295;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;23;0;0;1;0;0;0;0;0;0;0;0;62;0
SRR15595303;0;6;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0
SRR22402304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;11;0
SRR22402350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
SRR22402268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
SRR22402297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SRR22402317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
