Sample;Glycine subgen. Soja;Drosophila;Callithrix;Zeugodacus;Mus;Musca;Sophophora;Culex;Ceratitis;Pyrobombus;Xenopus;Solanum subgen. Lycopersicon;Aspergillus subgen. Nidulantes
SRR22402299;0;1;0;0;0;0;0;0;0;0;0;0;0
SRR22402336;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595338;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402290;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595283;0;0;0;0;171;0;0;0;0;0;0;0;0
SRR22402305;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595350;0;0;0;0;109;0;0;0;0;0;0;0;0
SRR22402341;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402255;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402359;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595301;0;0;0;0;100;0;0;0;0;0;0;0;0
SRR22402287;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402325;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595250;0;0;0;0;30;0;0;0;0;0;0;0;0
SRR15595285;0;0;0;0;65;0;0;0;0;0;0;0;0
SRR22402258;0;0;0;0;0;0;0;0;0;0;10;0;0
SRR15595348;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402339;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402340;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402375;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402385;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402274;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402330;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402327;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595340;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402308;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402360;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595261;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595319;0;0;0;0;90;0;0;0;0;0;0;0;0
SRR15595313;0;0;0;0;165;0;0;0;0;0;0;0;0
SRR15595307;0;0;0;0;106;0;0;0;0;0;0;0;0
SRR15595341;0;0;0;0;72;0;0;0;0;0;0;49;0
SRR22402291;0;0;5;0;0;0;2;0;0;0;0;0;0
SRR15595333;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595320;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402315;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402363;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402328;0;0;4;0;0;0;0;0;0;0;0;0;0
SRR22402366;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595323;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595275;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402351;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595287;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595334;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402362;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402357;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402334;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595325;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402373;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595322;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595328;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402294;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595318;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595327;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595299;0;0;0;0;0;0;0;0;0;0;0;0;0
