Sample;Bamfordvirae;Loebvirae;Shotokuvirae;Orthornavirae;Heunggongvirae;Sangervirae;Viridiplantae;Pararnavirae;Zilligvirae;Metazoa;Fungi
SRR22402262;3;4515;653;4;1474785;12282;518;0;0;251404;23
SRR22402316;2;9325;6;2;349263;212;0;0;0;150450;0
SRR22402361;1;6735;27;13;663143;860;43;0;0;5532;22
SRR22402266;2;2466;0;2;288189;100;33;0;0;19104;0
SRR22402331;1;445;0;0;229566;903;2;0;0;904977;0
SRR22402311;12;11943;25;9;601405;525;92;0;0;51969;0
SRR15595343;0;0;5;0;0;0;5;0;0;15817643;0
SRR15595252;0;0;1;0;0;7;13;0;0;21642;0
SRR15595344;0;0;0;0;0;0;1;0;0;5349800;0
SRR22402337;0;483;81;0;174275;1;18;0;0;34295;0
SRR15595346;0;0;0;0;0;0;0;1;0;8280696;0
SRR15595297;0;0;1;0;0;1;0;0;0;812;230
SRR22402376;37;15436;2;8;361012;1713;4;0;0;6661;0
SRR22402345;69;6208;14;4;1247929;4404;0;0;0;2537;0
SRR22402257;0;8772;17;2;1197674;5266;111;0;0;5521;14
SRR15595326;0;0;0;0;0;0;1;0;0;6177279;0
SRR22402338;0;6251;51;7;613398;2217;167;0;0;100803;23
SRR15595265;1;0;0;0;0;0;487;0;0;926;163
SRR15595309;0;1;0;0;0;1;14;0;0;216129;0
SRR15595281;0;0;4;0;0;2;59;0;0;65507;0
SRR22402307;0;1731;1;5;150471;43;7;0;0;48738;0
SRR22402318;12;5505;29;2;538107;5183;127;0;0;14332;0
SRR22402323;117;27923;71;100;591150;1840;132;0;0;26717;0
SRR15595263;0;0;0;0;0;0;1;0;0;10482786;0
SRR22402299;802;18173;29;10;1597537;2060;35;0;0;5447;0
SRR22402336;0;5366;8;4;123898;1364;0;0;0;320276;0
SRR15595338;0;0;0;0;0;0;3;0;0;7290071;0
SRR22402290;0;6747;45;7;505852;210;119;0;0;19611;0
SRR15595283;0;0;0;0;0;17;5;0;0;8961;99
SRR22402305;0;1324;16;1;164511;63;41;0;0;331839;33
SRR15595350;0;177;0;0;0;15;0;0;0;1478;0
SRR22402341;1;2397;2;24;243571;1039;1;0;0;222161;0
SRR22402255;73;3662;64;3;533425;237;245;0;0;10903;0
SRR22402359;0;2474;3;6;666059;346;5;0;0;294690;0
SRR15595301;7;0;0;0;0;18;1322;0;0;562;3
SRR22402287;0;57067;236;4;979103;3718;35;1;0;8303;194
SRR22402325;8;74096;14;2;873639;3439;377;0;0;376985;282
SRR15595250;0;0;0;0;0;4;56;0;0;13904;57
SRR15595285;0;0;1;0;0;18;2024;0;0;2858;98
SRR22402258;0;1320;0;2;147550;1691;23;0;0;3965;0
SRR15595348;0;0;0;0;0;0;0;0;0;5475990;0
SRR22402339;19;7798;2;6;592551;1343;11;0;0;31105;0
SRR22402340;0;4462;249;12;360228;3956;21;0;0;47677;462
SRR22402375;0;1525;0;1;104607;433;22;0;0;2920;15
SRR22402385;45;11467;5;7;641879;609;15;0;0;1293211;0
SRR22402274;0;9349;1;0;169277;199;98;0;0;28073;9
SRR22402330;0;8432;10;10;657587;1513;110;0;0;383075;0
SRR22402327;8;4790;74;1;297510;270;3;0;0;12770;0
SRR15595340;0;0;43;0;0;25;2;0;0;10926212;0
SRR22402308;0;5691;2;17;1574457;11105;60;0;0;720344;0
SRR22402360;0;7969;0;26;897544;712;202;0;0;584357;0
SRR15595261;0;0;1;0;0;0;9;0;0;17410;0
SRR15595319;0;2;1;0;0;11;23;0;0;1025;0
SRR15595313;0;1;0;0;0;2;14;0;0;661;2
SRR15595307;0;0;0;0;0;0;2572;0;0;2521;10332
SRR15595341;0;0;0;0;0;2;401;0;0;1340;127
SRR22402291;0;27551;1;12;1705312;361;27;0;0;161561;0
SRR15595333;0;0;0;0;0;0;2;0;0;13948849;0
SRR15595320;0;0;3;0;0;0;4;0;0;11185457;0
SRR22402315;0;24717;2;3;469786;2463;211;0;1;1808;4
SRR22402363;5;4160;367;0;648977;28;30;0;0;938;0
SRR22402328;8;2568;2;9;427592;226;28;0;0;110006;0
SRR22402366;0;4613;3;4;603537;4502;3;0;0;22425;0
SRR15595323;0;0;0;0;0;0;4;0;0;7303630;0
SRR15595275;0;4;4;1;0;177;3;0;0;29951;0
SRR22402351;83;16993;2;10;417025;254;12;0;0;28633;0
SRR15595287;0;0;0;0;0;0;0;0;0;5024559;0
SRR15595334;0;0;0;0;0;0;0;1;0;14549889;9
SRR22402362;5;4458;3;3;131683;2439;15;0;0;103691;0
SRR22402357;0;1184;2;3;516023;745;4;0;0;7071;0
SRR22402334;1;1801;39;0;226521;122;17;0;0;329609;206
SRR15595325;0;0;0;0;0;0;10;0;0;46596;0
SRR22402373;0;630;184;0;419388;1728;42;0;0;183099;4
SRR15595322;0;0;0;0;0;0;2;0;0;5794936;0
SRR15595328;0;0;0;0;0;0;0;0;0;5044718;0
SRR22402294;14;5362;66;0;1564200;8900;299;0;0;1034;9
SRR15595318;0;0;0;0;0;0;0;0;0;13087722;0
SRR15595327;0;0;0;0;0;0;0;0;0;5723395;0
SRR15595299;0;0;0;0;0;0;1;0;0;8602802;0
