Sample;Euarchontoglires;Galloanserae;Characiphysae;Laurasiatheria;Peracarida;Batrachia;Eucarida;Cypriniphysae;Ceratodontae;Psocodea;Cichlomorphae;Galeoidea;Amphiesmenoptera;Xenarthra;Octopodiformes;Neuropterida;Afrotheria;Parasitiformes;Palaeognathae;Imparidentia;Atherinomorphae;Batoidea
SRR15595277;685;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402355;133912;0;0;299;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402313;311445;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402365;6339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
SRR22402342;1404;0;0;7;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402289;204411;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595315;18189;25;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595295;1542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402343;129012;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402320;4122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595351;10199530;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595244;734;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402326;11116;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402282;9522;0;0;100;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402303;190387;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402354;14974;0;0;348;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402380;154475;0;0;685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402378;3484099;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402301;42596;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402333;14772;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595259;39225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402256;3726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402272;1581043;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402260;1535;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402372;5363;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595332;13184081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595349;8591176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402324;2848;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402279;2485;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595273;34231;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402286;76765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595331;12530870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595291;5727808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595330;978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402383;1383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402262;247127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402316;148773;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402361;4961;0;0;33;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402266;18559;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402331;894562;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402311;50041;0;0;136;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595343;15568458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595252;21332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595344;5281854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402337;33840;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595346;8168836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595297;769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402376;6366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402345;2227;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402257;4277;0;0;11;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595326;6088440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402338;99388;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595265;896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595309;212643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595281;64608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402307;48126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402318;13852;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402323;25687;0;3;29;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595263;10299578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402299;4172;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402336;316851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595338;7158814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402290;19211;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595283;6158;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402305;327389;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595350;1415;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402341;219754;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
