Sample;Caniformia;Apogonoidei;Dendrobranchiata;Myomorpha;Auchenorrhyncha;Pleocyemata;Brachycera;Tylopoda;Haplorrhini;Siluroidei;Lepidosirenoidei;Nematocera;Cryptodira;Ruminantia;Feliformia;Cyprinoidei;Megachiroptera;Apocrita;Whippomorpha;Apiineae;Incirrata;Sciuromorpha;Heteroptera;Microchiroptera;Sternorrhyncha;Suina;Hemerobiiformia;Anoplura;Senticaudata;Strepsirrhini;Caelifera;Acipenseroidei;Adrianichthyoidei;Tylenchina;Castorimorpha;Characoidei;Glossata;Gobioidei;Araneomorphae;Pulicomorpha;Folivora;Chloroflexineae;Sorangiineae;Cystobacterineae;Nannocystineae;Tornidovirineae;Roseiflexineae
SRR22402322;0;0;0;0;0;0;0;0;44509;0;79;0;0;492;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0
SRR22402259;0;0;0;0;0;0;0;0;57712;0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;177;0;0;0;0
SRR15595336;0;0;0;0;0;0;0;0;17307345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402352;0;0;2;0;0;0;0;0;12780;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;33;1;0;0
SRR15595253;0;0;0;200;0;0;173;0;1688;0;0;0;0;0;0;1;0;0;0;225;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;7;0;0
SRR22402263;4;0;0;0;0;0;0;0;18988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;21;0;0;0
SRR22402312;0;0;0;0;0;0;0;0;13274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0
SRR22402335;75;0;0;0;0;0;0;0;4908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;0;0;0
SRR22402384;0;0;0;0;0;0;0;0;7850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
SRR22402267;7;0;3;0;0;0;1;0;47548;0;0;0;0;3;0;0;0;0;0;24;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0
SRR22402293;0;0;0;0;0;0;0;0;29254;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595255;0;0;0;118;0;0;0;0;553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;7;0;0
SRR15595335;0;0;0;0;0;0;0;0;14131885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402371;0;0;0;0;0;0;0;0;10553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402309;0;0;36;0;0;0;0;0;8362;0;0;0;0;5;15;0;0;0;0;0;0;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;55;0;0;0
SRR22402344;0;0;0;0;0;0;0;0;84302;57;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;97;0;0;0
SRR22402306;0;0;0;0;0;0;0;0;35978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;32;0;0;0
SRR15595267;0;0;0;136;0;0;3;0;9938;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
SRR22402367;8;0;0;0;0;0;0;0;17121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
SRR15595347;0;0;0;0;0;0;0;0;6140726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595254;0;0;0;92;0;0;0;0;604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SRR15595339;0;0;0;0;0;0;0;0;12705342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595277;0;0;0;264;0;0;0;0;420;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402355;0;0;12;0;1;0;0;0;133661;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402313;0;0;0;0;0;0;0;0;310802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;180;142;0;0;0
