Sample;Thermotogae;Thermodesulfobacteria;Acidobacteria;Fusobacteria;Synergistetes;Euryarchaeota;Spirochaetes;Coprothermobacterota;Proteobacteria;Dictyoglomi;Deferribacteres;Elusimicrobia;Nitrospirae;Chrysiogenetes;Aquificae;Candidatus Thermoplasmatota;Calditrichaeota;Pisuviricota;Chlamydiae;Streptophyta;Fibrobacteres;Gemmatimonadetes;Phixviricota;Uroviricota;Armatimonadetes;Tenericutes;Deinococcus-Thermus;Kiritimatiellaeota;Chloroflexi;Actinobacteria;Verrucomicrobia;Planctomycetes;Hofneiviricota;Cressdnaviricota;Firmicutes;Artverviricota;Lentisphaerae;Crenarchaeota;Taleaviricota;Nitrospinae;Nucleocytoviricota;Chlorophyta;Caldiserica;Preplasmiviricota;Peploviricota;Fornicata;Cossaviricota;Kitrinoviricota;Evosea;Candidatus Cryosericota;Negarnaviricota;Duplornaviricota;Bacteroidetes;Ignavibacteriae;Cyanobacteria;Balneolaeota;Chlorobi;Candidatus Saccharibacteria;Rhodothermaeota;Oomycota;Candidatus Melainabacteria;Apicomplexa;Ciliophora;Porifera;Ascomycota;Basidiomycota;Cnidaria
SRR22402303;42;52;81;3340;957;206;286;0;614218;0;0;1;0;17;72;0;0;8;0;9;187;111;217;457624;34;185;568;0;152;161123;57261;35;21766;8;10498229;0;47692;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;11579112;4;79;2;8;636;0;0;0;0;0;0;117;0;0
SRR22402354;14;0;17;156;112;65;56;0;476273;0;1;1;0;0;4;0;0;3;0;0;7;36;155;260070;1;10;93;0;35;440314;23117;11;8448;21;8773893;0;1487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19284213;4;33;0;1;57;1;0;0;0;0;0;309;0;0
SRR22402380;6;0;1;70;0;2;4;0;811177;0;0;0;0;0;1;0;0;8;0;6;4;0;420;68637;0;0;3;0;0;721890;18;2;649;1;7444231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23516834;0;14;0;0;391;0;0;0;0;0;0;2056;6;0
SRR22402378;46;56;30;845;208;50;207;0;674435;0;20;0;0;0;7;0;0;15;1;23;23;18;976;637616;9;137;247;1;176;3322050;83682;28;16330;8;14928842;0;1329450;0;0;101;1;0;0;0;0;0;0;0;0;0;0;0;25535866;1;122;0;0;129;0;0;0;0;0;0;0;15;0
SRR22402301;28;68;26;109;197;18535;145;0;445017;0;5;0;1;0;4;9;0;1;0;121;41;19;453;558676;11;52;284;5;71;279158;539915;8;24959;4;13248095;0;188907;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;16067897;0;78;0;6;236;1;9;1;0;0;0;0;0;0
SRR22402333;13;0;6;136;24;0;19;0;318338;0;0;0;0;0;1;0;0;4;0;6;1;2;48;152881;0;68;13;0;3;265443;0;9;6007;3;9641545;0;111;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;21201557;0;10;0;1;65;0;0;0;0;0;5;36;0;0
SRR15595259;18;0;1;57;0;41;5;0;634185;0;0;0;0;0;0;1;0;0;1;330;0;0;142;41;0;17;11;0;0;814721;151;0;0;4;5530126;0;0;33;0;0;0;0;1;0;0;0;0;0;0;0;0;2;277275;0;8;0;1;166;0;0;0;0;0;0;28119;0;0
SRR22402256;48;0;4;114;22;0;72;0;489529;0;0;0;0;0;1;0;0;1;0;3;44;0;69;343653;0;62;16;0;15;2132489;5067;13;2711;95;16695136;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14869264;1;39;0;0;96;1;0;1;0;0;0;0;0;0
SRR22402272;16;0;103;30443;82;16;64;0;2453990;0;0;1;0;13;108;0;0;0;2;17;236;0;982;2217763;1;231;270;0;24;2279170;790;35;2136;0;23487142;1;0;0;0;0;0;0;0;0;1;252;0;0;3;0;0;0;64901173;0;322;2;0;312;2;0;0;0;0;0;0;0;0
SRR22402260;66;0;30;184;128;10257;130;0;300396;0;2;0;0;0;9;0;0;0;0;13;10;9;171;639301;7;3;46;6;21;241341;158522;1;7042;832;11474228;0;283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10945242;0;34;0;5;121;0;0;1;0;0;0;0;0;0
