Sample;Petrosaviidae;Pterygota;Autobranchia;Neopterygii;Dothideomycetidae;Eumalacostraca;Chondrostei;Dipnomorpha;Acari;Testudinata;Elasmobranchii;Hypocreomycetidae;Xylariomycetidae;Sordariomycetidae;Hirudinea;Neomphalina;Coleoidea;Digenea;Oscillatoriophycideae;Sphaerobacteridae;Heteroscleromorpha
SRR22402257;7;63;0;5;0;20;0;0;0;0;0;1;0;0;0;0;0;0;13;0;0
SRR15595326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402338;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR15595265;483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595309;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR15595281;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0
SRR22402323;26;16;0;20;0;0;0;13;0;0;0;0;0;0;0;0;0;0;74;0;0
SRR15595263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402299;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0
SRR22402336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402290;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0
SRR15595283;0;2652;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR22402305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595350;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402255;10;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0
SRR22402359;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;2;0
SRR15595301;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
SRR22402287;6;32;0;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;214;0;0
SRR22402325;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0
SRR15595250;56;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR15595285;2014;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR22402258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
